,DATE,DailyAverageDryBulbTemperature,DailyAverageSeaLevelPressure,DailyAverageStationPressure
132,2013-01-04 12:53:00,,,
133,2013-01-04 13:53:00,,,
134,2013-01-04 14:53:00,,,
135,2013-01-04 15:53:00,,,
136,2013-01-04 16:53:00,,,
137,2013-01-04 17:53:00,,,
138,2013-01-04 18:53:00,,,
139,2013-01-04 19:53:00,,,
140,2013-01-04 20:53:00,,,
141,2013-01-04 21:53:00,,,
142,2013-01-04 22:53:00,,,
143,2013-01-04 23:53:00,,,
144,2013-01-04 23:59:00,42.0,30.4,30.03
145,2013-01-05 00:53:00,,,
146,2013-01-05 01:53:00,,,
147,2013-01-05 02:53:00,,,
148,2013-01-05 03:53:00,,,
149,2013-01-05 04:53:00,,,
150,2013-01-05 05:53:00,,,
151,2013-01-05 06:53:00,,,
152,2013-01-05 07:53:00,,,
153,2013-01-05 08:53:00,,,
154,2013-01-05 09:53:00,,,
155,2013-01-05 10:53:00,,,
156,2013-01-05 11:53:00,,,
157,2013-01-05 12:53:00,,,
158,2013-01-05 13:20:00,,,
159,2013-01-05 13:53:00,,,
160,2013-01-05 14:53:00,,,
161,2013-01-05 15:53:00,,,
162,2013-01-05 16:53:00,,,
163,2013-01-05 17:53:00,,,
164,2013-01-05 18:53:00,,,
165,2013-01-05 19:53:00,,,
166,2013-01-05 20:53:00,,,
167,2013-01-05 21:43:00,,,
168,2013-01-05 21:53:00,,,
169,2013-01-05 22:29:00,,,
170,2013-01-05 22:53:00,,,
171,2013-01-05 23:53:00,,,
172,2013-01-05 23:59:00,43.0,30.33,29.96
173,2013-01-06 00:32:00,,,
174,2013-01-06 00:39:00,,,
175,2013-01-06 00:53:00,,,
176,2013-01-06 01:51:00,,,
177,2013-01-06 01:53:00,,,
178,2013-01-06 02:12:00,,,
179,2013-01-06 02:19:00,,,
180,2013-01-06 02:42:00,,,
181,2013-01-06 02:51:00,,,
182,2013-01-06 02:53:00,,,
183,2013-01-06 03:10:00,,,
184,2013-01-06 03:20:00,,,
185,2013-01-06 03:29:00,,,
186,2013-01-06 03:38:00,,,
187,2013-01-06 03:45:00,,,
188,2013-01-06 03:53:00,,,
189,2013-01-06 04:03:00,,,
190,2013-01-06 04:32:00,,,
191,2013-01-06 04:53:00,,,
192,2013-01-06 05:53:00,,,
193,2013-01-06 06:22:00,,,
194,2013-01-06 06:36:00,,,
195,2013-01-06 06:53:00,,,
196,2013-01-06 07:28:00,,,
197,2013-01-06 07:38:00,,,
198,2013-01-06 07:53:00,,,
199,2013-01-06 08:51:00,,,
200,2013-01-06 08:53:00,,,
201,2013-01-06 09:53:00,,,
202,2013-01-06 10:13:00,,,
203,2013-01-06 10:25:00,,,
204,2013-01-06 10:37:00,,,
205,2013-01-06 10:45:00,,,
206,2013-01-06 10:53:00,,,
207,2013-01-06 11:07:00,,,
208,2013-01-06 11:34:00,,,
209,2013-01-06 11:53:00,,,
210,2013-01-06 12:53:00,,,
211,2013-01-06 13:53:00,,,
212,2013-01-06 14:53:00,,,
213,2013-01-06 15:53:00,,,
214,2013-01-06 16:53:00,,,
215,2013-01-06 17:53:00,,,
216,2013-01-06 18:53:00,,,
217,2013-01-06 19:53:00,,,
218,2013-01-06 20:53:00,,,
219,2013-01-06 21:53:00,,,
220,2013-01-06 22:53:00,,,
221,2013-01-06 23:53:00,,,
222,2013-01-06 23:59:00,45.0,30.29,29.93
223,2013-01-07 00:53:00,,,
224,2013-01-07 01:53:00,,,
225,2013-01-07 02:53:00,,,
226,2013-01-07 03:53:00,,,
227,2013-01-07 04:53:00,,,
228,2013-01-07 05:53:00,,,
229,2013-01-07 06:53:00,,,
230,2013-01-07 07:19:00,,,
231,2013-01-07 07:30:00,,,
232,2013-01-07 07:53:00,,,
233,2013-01-07 08:53:00,,,
234,2013-01-07 09:53:00,,,
235,2013-01-07 10:53:00,,,
236,2013-01-07 11:53:00,,,
237,2013-01-07 12:53:00,,,
238,2013-01-07 13:53:00,,,
239,2013-01-07 14:53:00,,,
240,2013-01-07 15:53:00,,,
241,2013-01-07 16:53:00,,,
242,2013-01-07 17:53:00,,,
243,2013-01-07 18:53:00,,,
244,2013-01-07 19:53:00,,,
245,2013-01-07 20:53:00,,,
246,2013-01-07 21:53:00,,,
247,2013-01-07 22:53:00,,,
248,2013-01-07 23:53:00,,,
249,2013-01-07 23:59:00,45.0,30.27,29.9
250,2013-01-08 00:53:00,,,
251,2013-01-08 01:53:00,,,
252,2013-01-08 02:53:00,,,
253,2013-01-08 03:53:00,,,
254,2013-01-08 04:53:00,,,
255,2013-01-08 05:53:00,,,
256,2013-01-08 06:53:00,,,
257,2013-01-08 07:53:00,,,
258,2013-01-08 08:53:00,,,
259,2013-01-08 09:03:00,,,
260,2013-01-08 09:53:00,,,
261,2013-01-08 10:53:00,,,
262,2013-01-08 11:53:00,,,
263,2013-01-08 12:53:00,,,
264,2013-01-08 13:53:00,,,
265,2013-01-08 14:50:00,,,
266,2013-01-08 14:53:00,,,
267,2013-01-08 15:53:00,,,
268,2013-01-08 16:53:00,,,
269,2013-01-08 17:53:00,,,
270,2013-01-08 18:53:00,,,
271,2013-01-08 19:53:00,,,
272,2013-01-08 20:53:00,,,
273,2013-01-08 21:53:00,,,
274,2013-01-08 22:14:00,,,
275,2013-01-08 22:53:00,,,
276,2013-01-08 23:27:00,,,
277,2013-01-08 23:42:00,,,
278,2013-01-08 23:53:00,,,
279,2013-01-08 23:59:00,51.0,30.17,29.8
280,2013-01-09 00:40:00,,,
281,2013-01-09 00:53:00,,,
282,2013-01-09 01:33:00,,,
283,2013-01-09 01:53:00,,,
284,2013-01-09 02:01:00,,,
285,2013-01-09 02:12:00,,,
286,2013-01-09 02:40:00,,,
287,2013-01-09 02:53:00,,,
288,2013-01-09 03:51:00,,,
289,2013-01-09 03:53:00,,,
290,2013-01-09 04:53:00,,,
291,2013-01-09 05:53:00,,,
292,2013-01-09 06:26:00,,,
293,2013-01-09 06:53:00,,,
294,2013-01-09 07:27:00,,,
295,2013-01-09 07:53:00,,,
296,2013-01-09 08:34:00,,,
297,2013-01-09 08:53:00,,,
298,2013-01-09 09:53:00,,,
299,2013-01-09 10:53:00,,,
300,2013-01-09 11:12:00,,,
301,2013-01-09 11:23:00,,,
302,2013-01-09 11:53:00,,,
303,2013-01-09 12:53:00,,,
304,2013-01-09 13:53:00,,,
305,2013-01-09 14:53:00,,,
306,2013-01-09 15:41:00,,,
307,2013-01-09 15:53:00,,,
308,2013-01-09 16:41:00,,,
309,2013-01-09 16:43:00,,,
310,2013-01-09 16:53:00,,,
311,2013-01-09 17:16:00,,,
312,2013-01-09 17:29:00,,,
313,2013-01-09 17:39:00,,,
314,2013-01-09 17:53:00,,,
315,2013-01-09 18:15:00,,,
316,2013-01-09 18:53:00,,,
317,2013-01-09 19:53:00,,,
318,2013-01-09 20:53:00,,,
319,2013-01-09 21:18:00,,,
320,2013-01-09 21:43:00,,,
321,2013-01-09 21:53:00,,,
322,2013-01-09 22:53:00,,,
323,2013-01-09 23:18:00,,,
324,2013-01-09 23:25:00,,,
325,2013-01-09 23:53:00,,,
326,2013-01-09 23:59:00,61.0,30.18,29.82
327,2013-01-10 00:16:00,,,
328,2013-01-10 00:53:00,,,
329,2013-01-10 01:34:00,,,
330,2013-01-10 01:53:00,,,
331,2013-01-10 02:53:00,,,
332,2013-01-10 03:15:00,,,
333,2013-01-10 03:53:00,,,
334,2013-01-10 04:53:00,,,
335,2013-01-10 05:02:00,,,
336,2013-01-10 05:17:00,,,
337,2013-01-10 05:53:00,,,
338,2013-01-10 06:19:00,,,
339,2013-01-10 06:41:00,,,
340,2013-01-10 06:53:00,,,
341,2013-01-10 07:05:00,,,
342,2013-01-10 07:23:00,,,
343,2013-01-10 07:36:00,,,
344,2013-01-10 07:51:00,,,
345,2013-01-10 07:53:00,,,
346,2013-01-10 08:11:00,,,
347,2013-01-10 08:35:00,,,
348,2013-01-10 08:44:00,,,
349,2013-01-10 08:53:00,,,
350,2013-01-10 09:29:00,,,
351,2013-01-10 09:51:00,,,
352,2013-01-10 09:53:00,,,
353,2013-01-10 10:00:00,,,
354,2013-01-10 10:16:00,,,
355,2013-01-10 10:30:00,,,
356,2013-01-10 10:40:00,,,
357,2013-01-10 10:49:00,,,
358,2013-01-10 10:53:00,,,
359,2013-01-10 11:02:00,,,
360,2013-01-10 11:31:00,,,
361,2013-01-10 11:39:00,,,
362,2013-01-10 11:45:00,,,
363,2013-01-10 11:53:00,,,
364,2013-01-10 12:02:00,,,
365,2013-01-10 12:39:00,,,
366,2013-01-10 12:53:00,,,
367,2013-01-10 13:21:00,,,
368,2013-01-10 13:51:00,,,
369,2013-01-10 13:53:00,,,
370,2013-01-10 14:53:00,,,
371,2013-01-10 15:53:00,,,
372,2013-01-10 16:53:00,,,
373,2013-01-10 17:53:00,,,
374,2013-01-10 18:53:00,,,
375,2013-01-10 19:53:00,,,
376,2013-01-10 20:51:00,,,
377,2013-01-10 20:53:00,,,
378,2013-01-10 21:53:00,,,
379,2013-01-10 22:53:00,,,
380,2013-01-10 23:53:00,,,
381,2013-01-10 23:59:00,65.0,30.07,29.71
382,2013-01-11 00:50:00,,,
383,2013-01-11 00:53:00,,,
384,2013-01-11 01:05:00,,,
385,2013-01-11 01:18:00,,,
386,2013-01-11 01:26:00,,,
387,2013-01-11 01:37:00,,,
388,2013-01-11 01:53:00,,,
389,2013-01-11 02:53:00,,,
390,2013-01-11 03:31:00,,,
391,2013-01-11 03:46:00,,,
392,2013-01-11 03:53:00,,,
393,2013-01-11 04:02:00,,,
394,2013-01-11 04:32:00,,,
395,2013-01-11 04:49:00,,,
396,2013-01-11 04:53:00,,,
397,2013-01-11 05:00:00,,,
398,2013-01-11 05:23:00,,,
399,2013-01-11 05:31:00,,,
400,2013-01-11 05:53:00,,,
401,2013-01-11 06:06:00,,,
402,2013-01-11 06:14:00,,,
403,2013-01-11 06:40:00,,,
404,2013-01-11 06:53:00,,,
405,2013-01-11 07:53:00,,,
406,2013-01-11 08:53:00,,,
407,2013-01-11 09:53:00,,,
408,2013-01-11 10:53:00,,,
409,2013-01-11 11:53:00,,,
410,2013-01-11 12:51:00,,,
411,2013-01-11 12:53:00,,,
412,2013-01-11 13:53:00,,,
413,2013-01-11 14:53:00,,,
414,2013-01-11 15:53:00,,,
415,2013-01-11 16:06:00,,,
416,2013-01-11 16:53:00,,,
417,2013-01-11 17:19:00,,,
418,2013-01-11 17:53:00,,,
419,2013-01-11 18:44:00,,,
420,2013-01-11 18:53:00,,,
421,2013-01-11 19:14:00,,,
422,2013-01-11 19:53:00,,,
423,2013-01-11 20:53:00,,,
424,2013-01-11 21:53:00,,,
425,2013-01-11 22:53:00,,,
426,2013-01-11 23:53:00,,,
427,2013-01-11 23:59:00,65.0,30.02,29.65
428,2013-01-12 00:53:00,,,
429,2013-01-12 01:53:00,,,
430,2013-01-12 02:53:00,,,
431,2013-01-12 03:53:00,,,
432,2013-01-12 04:53:00,,,
433,2013-01-12 05:53:00,,,
434,2013-01-12 06:15:00,,,
435,2013-01-12 06:53:00,,,
436,2013-01-12 07:53:00,,,
437,2013-01-12 08:43:00,,,
438,2013-01-12 08:53:00,,,
439,2013-01-12 09:53:00,,,
440,2013-01-12 10:53:00,,,
441,2013-01-12 11:51:00,,,
442,2013-01-12 11:53:00,,,
443,2013-01-12 12:53:00,,,
444,2013-01-12 13:53:00,,,
445,2013-01-12 14:53:00,,,
446,2013-01-12 15:53:00,,,
447,2013-01-12 16:53:00,,,
448,2013-01-12 17:53:00,,,
449,2013-01-12 18:53:00,,,
450,2013-01-12 19:53:00,,,
451,2013-01-12 20:20:00,,,
452,2013-01-12 20:53:00,,,
453,2013-01-12 21:29:00,,,
454,2013-01-12 21:53:00,,,
455,2013-01-12 22:51:00,,,
456,2013-01-12 22:53:00,,,
457,2013-01-12 23:08:00,,,
458,2013-01-12 23:24:00,,,
459,2013-01-12 23:53:00,,,
460,2013-01-12 23:59:00,74.0,29.93,29.56
461,2013-01-13 00:03:00,,,
462,2013-01-13 00:17:00,,,
463,2013-01-13 00:53:00,,,
464,2013-01-13 01:53:00,,,
465,2013-01-13 02:53:00,,,
466,2013-01-13 03:51:00,,,
467,2013-01-13 03:53:00,,,
468,2013-01-13 04:22:00,,,
469,2013-01-13 04:51:00,,,
470,2013-01-13 04:53:00,,,
471,2013-01-13 05:53:00,,,
472,2013-01-13 06:53:00,,,
473,2013-01-13 07:53:00,,,
474,2013-01-13 08:53:00,,,
475,2013-01-13 09:53:00,,,
476,2013-01-13 10:13:00,,,
477,2013-01-13 10:53:00,,,
478,2013-01-13 11:08:00,,,
479,2013-01-13 11:26:00,,,
480,2013-01-13 11:53:00,,,
481,2013-01-13 12:02:00,,,
482,2013-01-13 12:06:00,,,
483,2013-01-13 12:11:00,,,
484,2013-01-13 12:18:00,,,
485,2013-01-13 12:29:00,,,
486,2013-01-13 12:53:00,,,
487,2013-01-13 13:53:00,,,
488,2013-01-13 14:03:00,,,
489,2013-01-13 14:09:00,,,
490,2013-01-13 14:15:00,,,
491,2013-01-13 14:21:00,,,
492,2013-01-13 14:29:00,,,
493,2013-01-13 14:33:00,,,
494,2013-01-13 14:42:00,,,
495,2013-01-13 14:44:00,,,
496,2013-01-13 14:53:00,,,
497,2013-01-13 15:01:00,,,
498,2013-01-13 15:07:00,,,
499,2013-01-13 15:13:00,,,
500,2013-01-13 15:22:00,,,
501,2013-01-13 15:34:00,,,
502,2013-01-13 15:42:00,,,
503,2013-01-13 15:51:00,,,
504,2013-01-13 15:53:00,,,
505,2013-01-13 16:01:00,,,
506,2013-01-13 16:09:00,,,
507,2013-01-13 16:11:00,,,
508,2013-01-13 16:35:00,,,
509,2013-01-13 16:45:00,,,
510,2013-01-13 16:47:00,,,
511,2013-01-13 16:53:00,,,
512,2013-01-13 17:01:00,,,
513,2013-01-13 17:05:00,,,
514,2013-01-13 17:53:00,,,
515,2013-01-13 18:53:00,,,
516,2013-01-13 19:53:00,,,
517,2013-01-13 20:53:00,,,
518,2013-01-13 21:03:00,,,
519,2013-01-13 21:53:00,,,
520,2013-01-13 22:53:00,,,
521,2013-01-13 23:53:00,,,
522,2013-01-13 23:59:00,59.0,29.96,29.62
523,2013-01-14 00:53:00,,,
524,2013-01-14 01:53:00,,,
525,2013-01-14 02:53:00,,,
526,2013-01-14 03:53:00,,,
527,2013-01-14 04:53:00,,,
528,2013-01-14 05:53:00,,,
529,2013-01-14 06:53:00,,,
530,2013-01-14 07:53:00,,,
531,2013-01-14 08:27:00,,,
532,2013-01-14 08:51:00,,,
533,2013-01-14 08:53:00,,,
534,2013-01-14 09:07:00,,,
535,2013-01-14 09:25:00,,,
536,2013-01-14 09:39:00,,,
537,2013-01-14 09:47:00,,,
538,2013-01-14 09:53:00,,,
539,2013-01-14 10:11:00,,,
540,2013-01-14 10:43:00,,,
541,2013-01-14 10:51:00,,,
542,2013-01-14 10:53:00,,,
543,2013-01-14 11:36:00,,,
544,2013-01-14 11:42:00,,,
545,2013-01-14 11:53:00,,,
546,2013-01-14 12:14:00,,,
547,2013-01-14 12:25:00,,,
548,2013-01-14 12:36:00,,,
549,2013-01-14 12:48:00,,,
550,2013-01-14 12:53:00,,,
551,2013-01-14 13:00:00,,,
552,2013-01-14 13:03:00,,,
553,2013-01-14 13:13:00,,,
554,2013-01-14 13:16:00,,,
555,2013-01-14 13:30:00,,,
556,2013-01-14 13:34:00,,,
557,2013-01-14 13:49:00,,,
558,2013-01-14 13:51:00,,,
559,2013-01-14 13:53:00,,,
560,2013-01-14 13:59:00,,,
561,2013-01-14 14:09:00,,,
562,2013-01-14 14:18:00,,,
563,2013-01-14 14:31:00,,,
564,2013-01-14 14:44:00,,,
565,2013-01-14 14:46:00,,,
566,2013-01-14 14:53:00,,,
567,2013-01-14 15:08:00,,,
568,2013-01-14 15:13:00,,,
569,2013-01-14 15:30:00,,,
570,2013-01-14 15:38:00,,,
571,2013-01-14 15:43:00,,,
572,2013-01-14 15:51:00,,,
573,2013-01-14 15:53:00,,,
574,2013-01-14 16:53:00,,,
575,2013-01-14 17:53:00,,,
576,2013-01-14 18:53:00,,,
577,2013-01-14 19:53:00,,,
578,2013-01-14 20:53:00,,,
579,2013-01-14 21:53:00,,,
580,2013-01-14 22:53:00,,,
581,2013-01-14 23:10:00,,,
582,2013-01-14 23:53:00,,,
583,2013-01-14 23:59:00,38.0,30.16,29.8
584,2013-01-15 00:53:00,,,
585,2013-01-15 01:53:00,,,
586,2013-01-15 02:53:00,,,
587,2013-01-15 03:53:00,,,
588,2013-01-15 04:53:00,,,
589,2013-01-15 05:53:00,,,
590,2013-01-15 06:19:00,,,
591,2013-01-15 06:51:00,,,
592,2013-01-15 06:53:00,,,
593,2013-01-15 07:00:00,,,
594,2013-01-15 07:53:00,,,
595,2013-01-15 08:24:00,,,
596,2013-01-15 08:49:00,,,
597,2013-01-15 08:53:00,,,
598,2013-01-15 09:53:00,,,
599,2013-01-15 09:58:00,,,
600,2013-01-15 10:33:00,,,
601,2013-01-15 10:43:00,,,
602,2013-01-15 10:53:00,,,
603,2013-01-15 11:16:00,,,
604,2013-01-15 11:38:00,,,
605,2013-01-15 11:45:00,,,
606,2013-01-15 11:53:00,,,
607,2013-01-15 12:00:00,,,
608,2013-01-15 12:22:00,,,
609,2013-01-15 12:31:00,,,
610,2013-01-15 12:34:00,,,
611,2013-01-15 12:46:00,,,
612,2013-01-15 12:53:00,,,
613,2013-01-15 13:12:00,,,
614,2013-01-15 13:47:00,,,
615,2013-01-15 13:53:00,,,
616,2013-01-15 14:53:00,,,
617,2013-01-15 15:53:00,,,
618,2013-01-15 16:30:00,,,
619,2013-01-15 16:38:00,,,
620,2013-01-15 16:51:00,,,
621,2013-01-15 16:53:00,,,
622,2013-01-15 17:53:00,,,
623,2013-01-15 18:14:00,,,
624,2013-01-15 18:18:00,,,
625,2013-01-15 18:36:00,,,
626,2013-01-15 18:45:00,,,
627,2013-01-15 18:53:00,,,
628,2013-01-15 19:10:00,,,
629,2013-01-15 19:27:00,,,
630,2013-01-15 19:53:00,,,
631,2013-01-15 20:51:00,,,
632,2013-01-15 20:53:00,,,
633,2013-01-15 21:04:00,,,
634,2013-01-15 21:41:00,,,
635,2013-01-15 21:51:00,,,
636,2013-01-15 21:53:00,,,
637,2013-01-15 22:53:00,,,
638,2013-01-15 23:15:00,,,
639,2013-01-15 23:34:00,,,
640,2013-01-15 23:53:00,,,
641,2013-01-15 23:59:00,36.0,30.07,29.69
642,2013-01-16 00:11:00,,,
643,2013-01-16 00:26:00,,,
644,2013-01-16 00:53:00,,,
645,2013-01-16 01:53:00,,,
646,2013-01-16 02:34:00,,,
647,2013-01-16 02:53:00,,,
648,2013-01-16 03:16:00,,,
649,2013-01-16 03:53:00,,,
650,2013-01-16 04:53:00,,,
651,2013-01-16 05:01:00,,,
652,2013-01-16 05:25:00,,,
653,2013-01-16 05:53:00,,,
654,2013-01-16 06:53:00,,,
655,2013-01-16 07:53:00,,,
656,2013-01-16 08:53:00,,,
657,2013-01-16 09:53:00,,,
658,2013-01-16 10:10:00,,,
659,2013-01-16 10:23:00,,,
660,2013-01-16 10:36:00,,,
661,2013-01-16 10:43:00,,,
662,2013-01-16 10:53:00,,,
663,2013-01-16 11:32:00,,,
664,2013-01-16 11:53:00,,,
665,2013-01-16 12:13:00,,,
666,2013-01-16 12:51:00,,,
667,2013-01-16 12:53:00,,,
668,2013-01-16 13:53:00,,,
669,2013-01-16 14:51:00,,,
670,2013-01-16 14:53:00,,,
671,2013-01-16 15:09:00,,,
672,2013-01-16 15:31:00,,,
673,2013-01-16 15:40:00,,,
674,2013-01-16 15:53:00,,,
675,2013-01-16 16:10:00,,,
676,2013-01-16 16:53:00,,,
677,2013-01-16 17:53:00,,,
678,2013-01-16 18:10:00,,,
679,2013-01-16 18:53:00,,,
680,2013-01-16 19:50:00,,,
681,2013-01-16 19:53:00,,,
682,2013-01-16 20:17:00,,,
683,2013-01-16 20:51:00,,,
684,2013-01-16 20:53:00,,,
685,2013-01-16 21:50:00,,,
686,2013-01-16 21:53:00,,,
687,2013-01-16 22:09:00,,,
688,2013-01-16 22:24:00,,,
689,2013-01-16 22:53:00,,,
690,2013-01-16 23:00:00,,,
691,2013-01-16 23:49:00,,,
692,2013-01-16 23:51:00,,,
693,2013-01-16 23:53:00,,,
694,2013-01-16 23:59:00,34.0,30.1,29.73
695,2013-01-17 00:20:00,,,
696,2013-01-17 00:25:00,,,
697,2013-01-17 00:33:00,,,
698,2013-01-17 00:48:00,,,
699,2013-01-17 00:53:00,,,
700,2013-01-17 01:51:00,,,
701,2013-01-17 01:53:00,,,
702,2013-01-17 02:06:00,,,
703,2013-01-17 02:48:00,,,
704,2013-01-17 02:53:00,,,
705,2013-01-17 02:58:00,,,
706,2013-01-17 03:38:00,,,
707,2013-01-17 03:53:00,,,
708,2013-01-17 04:00:00,,,
709,2013-01-17 04:23:00,,,
710,2013-01-17 04:33:00,,,
711,2013-01-17 04:53:00,,,
712,2013-01-17 05:04:00,,,
713,2013-01-17 05:12:00,,,
714,2013-01-17 05:30:00,,,
715,2013-01-17 05:53:00,,,
716,2013-01-17 06:00:00,,,
717,2013-01-17 06:53:00,,,
718,2013-01-17 07:02:00,,,
719,2013-01-17 07:16:00,,,
720,2013-01-17 07:24:00,,,
721,2013-01-17 07:48:00,,,
722,2013-01-17 07:51:00,,,
723,2013-01-17 07:53:00,,,
724,2013-01-17 08:01:00,,,
725,2013-01-17 08:08:00,,,
726,2013-01-17 08:20:00,,,
727,2013-01-17 08:27:00,,,
728,2013-01-17 08:53:00,,,
729,2013-01-17 09:51:00,,,
730,2013-01-17 09:53:00,,,
731,2013-01-17 10:09:00,,,
732,2013-01-17 10:53:00,,,
733,2013-01-17 11:00:00,,,
734,2013-01-17 11:53:00,,,
735,2013-01-17 12:53:00,,,
736,2013-01-17 13:53:00,,,
737,2013-01-17 14:53:00,,,
738,2013-01-17 15:53:00,,,
739,2013-01-17 16:53:00,,,
740,2013-01-17 17:53:00,,,
741,2013-01-17 18:53:00,,,
742,2013-01-17 19:53:00,,,
743,2013-01-17 20:53:00,,,
744,2013-01-17 21:53:00,,,
745,2013-01-17 22:53:00,,,
746,2013-01-17 23:53:00,,,
747,2013-01-17 23:59:00,42.0,30.27,29.94
748,2013-01-18 00:53:00,,,
749,2013-01-18 01:53:00,,,
750,2013-01-18 02:53:00,,,
751,2013-01-18 03:53:00,,,
752,2013-01-18 04:53:00,,,
753,2013-01-18 05:53:00,,,
754,2013-01-18 06:53:00,,,
755,2013-01-18 07:53:00,,,
756,2013-01-18 08:53:00,,,
757,2013-01-18 09:53:00,,,
758,2013-01-18 10:53:00,,,
759,2013-01-18 11:53:00,,,
760,2013-01-18 12:53:00,,,
761,2013-01-18 13:53:00,,,
762,2013-01-18 14:53:00,,,
